date,d_unfilled_b_v,d_unfilled_s_v,t_unfilled_b_v,t_unfilled_s_v,f_unfilled_b_v,f_unfilled_s_v
2010/01/04,2275,943,0,0,370,249
2010/01/05,3797,959,0,0,248,618
2010/01/06,5882,1185,0,0,403,314
2010/01/07,4465,1467,0,0,248,1696
2010/01/08,4733,1328,0,0,168,2216
2010/01/11,3990,1589,0,0,162,2359
2010/01/12,4314,1917,0,0,173,2776
2010/01/13,4570,2929,0,0,181,3039
2010/01/14,6085,2473,0,0,200,2463
2010/01/15,6654,2445,0,0,208,1942
2010/01/18,4889,2315,0,0,584,2044
2010/01/19,5443,4808,0,0,162,2915
2010/01/20,1925,2561,0,0,510,663
2010/01/21,1848,5098,0,0,368,379
2010/01/22,2562,4563,0,0,221,404
2010/01/25,3109,4731,0,0,1056,454
2010/01/26,3580,3452,0,0,175,234
2010/01/27,3409,2766,0,0,170,312
2010/01/28,3574,2418,0,10,1058,244
2010/01/29,3363,3149,0,20,630,211
2010/02/01,3677,4082,0,20,313,901
2010/02/02,5236,5572,0,20,192,1360
2010/02/03,5877,5776,0,20,230,132
2010/02/04,5806,6483,0,20,160,185
2010/02/05,5077,7409,0,25,164,128
2010/02/06,5330,6458,0,25,201,335
2010/02/08,6581,6320,0,25,302,281
2010/02/09,4562,5304,0,25,744,267
2010/02/10,3972,4395,0,25,615,271
2010/02/22,354,2522,0,25,68,927
2010/02/23,1627,2655,0,25,79,737
2010/02/24,635,4169,0,25,107,579
2010/02/25,1507,3248,0,25,82,877
2010/02/26,1644,2905,0,25,112,923
2010/03/01,1272,1661,0,25,162,400
2010/03/02,1389,1820,0,25,161,728
2010/03/03,1736,1421,0,25,135,618
2010/03/04,2218,1454,0,0,149,840
2010/03/05,2402,1191,0,0,136,1117
2010/03/08,2550,999,0,0,118,1306
2010/03/09,2949,896,0,0,108,1380
2010/03/10,2367,1075,0,0,98,1083
2010/03/11,2413,1415,0,0,91,1234
2010/03/12,1945,1745,0,0,79,1074
2010/03/15,1902,3162,0,0,95,1060
2010/03/16,2860,3756,0,0,91,512
2010/03/17,575,2498,0,0,462,76
2010/03/18,1334,1338,0,0,583,840
2010/03/19,1326,1704,0,0,716,866
2010/03/22,1847,1863,0,0,602,1085
2010/03/23,1207,2299,0,0,276,1105
2010/03/24,1357,3002,0,0,413,1104
2010/03/25,1918,3261,0,0,543,1336
2010/03/26,2074,2806,0,0,574,1049
2010/03/29,2202,2364,0,0,553,655
2010/03/30,1763,2699,0,0,182,693
2010/03/31,1954,3776,0,0,436,736
2010/04/01,3928,2743,0,0,741,710
2010/04/02,2393,2674,0,0,277,902
2010/04/06,1386,2922,0,0,295,1022
2010/04/07,1467,3430,0,0,313,1024
2010/04/08,1473,4484,0,0,219,1625
2010/04/09,2317,4675,0,0,349,1205
2010/04/12,1948,6098,0,0,257,1419
2010/04/13,1867,6260,0,0,307,1429
2010/04/14,1887,5081,0,0,418,848
2010/04/15,1519,4704,0,0,373,970
2010/04/16,1680,6182,0,0,538,1157
2010/04/19,3474,8867,0,0,846,956
2010/04/20,4408,5167,0,10,1121,495
2010/04/21,397,2159,0,10,897,111
2010/04/22,403,2878,0,10,1657,68
2010/04/23,772,2755,0,10,2198,324
2010/04/26,1027,2245,0,10,1076,192
2010/04/27,1115,3639,0,10,743,351
2010/04/28,1373,4710,0,0,1009,223
2010/04/29,2189,4969,0,0,1407,748
2010/04/30,2307,7437,0,0,595,762
2010/05/03,2415,9771,0,0,903,876
2010/05/04,2765,10561,0,0,1283,1027
2010/05/05,2356,7981,0,0,2086,1014
2010/05/06,1954,8436,0,0,2781,1177
2010/05/07,3152,7426,0,0,2062,886
2010/05/10,4557,7161,0,0,2647,1190
2010/05/11,1752,8040,0,0,3640,1195
2010/05/12,3495,9185,0,0,3850,1007
2010/05/13,5963,8086,0,0,1600,709
2010/05/14,4540,8663,0,0,2137,1635
2010/05/17,5183,11293,0,0,1908,2516
2010/05/18,4465,11797,0,0,1529,2474
2010/05/19,1512,6481,0,0,2344,544
2010/05/20,1879,8160,0,0,1630,634
2010/05/21,3809,8652,0,0,2725,254
2010/05/24,2022,9392,0,0,3485,250
2010/05/25,2029,10091,0,0,3391,522
2010/05/26,2092,9775,0,0,3090,827
2010/05/27,1963,9422,0,0,3295,404
2010/05/28,2615,9276,0,0,4233,1244
2010/05/31,3157,6717,0,0,4344,1531
2010/06/01,3517,7565,0,0,4418,1913
2010/06/02,3217,8569,0,0,5143,679
2010/06/03,3681,6662,0,0,5439,856
2010/06/04,2639,6913,0,0,5282,447
2010/06/07,2862,8418,0,0,6934,1497
2010/06/08,2626,8245,0,0,7047,1627
2010/06/09,3362,9219,0,0,7085,1905
2010/06/10,3155,7511,0,0,7319,1389
2010/06/11,3265,7650,0,0,7241,1297
2010/06/14,4045,7606,0,0,6953,1578
2010/06/15,4062,8262,0,0,7536,1624
2010/06/17,1381,5246,0,0,3768,62
2010/06/18,2129,6261,0,0,3734,222
2010/06/21,2088,6423,0,0,3684,614
2010/06/22,1586,6394,0,0,3701,711
2010/06/23,1315,7328,0,0,3839,800
2010/06/24,1412,7305,0,0,4089,695
2010/06/25,1411,8500,0,0,4096,1122
2010/06/28,1478,8533,0,0,4372,727
2010/06/29,1479,11220,0,0,4752,1474
2010/06/30,1413,11056,0,0,4397,1389
2010/07/01,1401,11417,0,0,4545,1567
2010/07/02,1446,9280,0,0,4977,1515
2010/07/05,2698,7678,0,0,4830,1025
2010/07/06,4183,5022,0,0,4494,1102
2010/07/07,4114,4917,0,0,4180,1308
2010/07/08,4873,4797,0,0,4623,1881
2010/07/09,2523,4641,0,0,4919,1645
2010/07/12,2790,4579,0,0,5298,2329
2010/07/13,2449,4617,0,0,5381,1936
2010/07/14,2606,4124,0,0,5239,2694
2010/07/15,2668,4061,0,0,5529,3327
2010/07/16,2649,4488,0,0,5932,3945
2010/07/19,2297,4986,0,0,6483,4674
2010/07/20,2070,4540,0,0,6550,4434
2010/07/21,973,2421,0,0,2831,832
2010/07/22,1099,3409,0,0,2524,348
2010/07/23,1243,2160,0,0,3224,441
2010/07/26,1480,2333,0,0,3172,739
2010/07/27,1392,3537,1,0,3236,873
2010/07/28,2033,3016,2,0,3107,113
2010/07/29,1587,4152,2,0,3418,353
2010/07/30,2214,3113,2,0,3173,768
2010/08/02,1984,3026,2,0,3550,321
2010/08/03,2171,3299,2,0,3319,953
2010/08/04,2264,3131,2,0,3302,1027
2010/08/05,2378,3270,2,0,3086,1343
2010/08/06,2383,3398,2,0,3165,1456
2010/08/09,3103,3019,2,0,3064,671
2010/08/10,2462,3651,2,0,3171,1845
2010/08/11,2460,4561,2,0,3034,973
2010/08/12,2411,4458,2,0,2866,1236
2010/08/13,2727,3388,2,0,3043,1191
2010/08/16,3187,2722,2,0,3139,957
2010/08/17,3842,2439,2,0,3255,776
2010/08/18,742,1625,2,0,1766,851
2010/08/19,1255,1678,2,0,2140,720
2010/08/20,1038,2188,1,0,2104,1151
2010/08/23,1379,2301,1,0,2286,1065
2010/08/24,1029,4017,1,0,2014,1135
2010/08/25,1141,6529,1,0,1747,1503
