date,open,high,low,close,volume,price,records
2010/01/04,"8,222.42","8,240.45","8,143.45","8,207.85",6465473557,171654446230,1500109
2010/01/05,"8,277.71","8,283.64","8,162.54","8,211.40",6795431855,197446584919,1613717
2010/01/06,"8,237.10","8,327.87","8,216.92","8,327.62",6462699499,188531863020,1514442
2010/01/07,"8,344.56","8,369.55","8,233.59","8,237.42",7183703184,203297890690,1690439
2010/01/08,"8,266.87","8,290.66","8,178.93","8,280.90",5837432488,161862787984,1382306
2010/01/11,"8,291.52","8,357.90","8,281.72","8,323.82",5896152204,155046040928,1324930
2010/01/12,"8,343.73","8,356.97","8,262.58","8,309.37",5274863882,148635185491,1282138
2010/01/13,"8,229.25","8,257.83","8,194.81","8,196.56",4962765201,142190737384,1222533
2010/01/14,"8,245.86","8,313.94","8,237.67","8,289.98",4877746929,147831659386,1218970
2010/01/15,"8,340.60","8,380.23","8,325.82","8,356.89",5685060159,172630572248,1374873
2010/01/18,"8,290.38","8,367.65","8,290.38","8,337.82",5131168584,141415278878,1237114
2010/01/19,"8,387.66","8,395.39","8,227.30","8,249.00",5866146928,159678127383,1381969
2010/01/20,"8,309.19","8,309.19","8,191.44","8,220.93",5046231796,142394782814,1218131
2010/01/21,"8,189.50","8,208.21","8,107.55","8,127.87",4657360582,130364445850,1144867
2010/01/22,"7,986.43","8,015.95","7,912.85","7,927.31",4941018121,148807083997,1228853
2010/01/25,"7,845.30","7,938.14","7,828.34","7,872.99",3686664646,109526870110,956065
2010/01/26,"7,903.03","7,922.07","7,572.58","7,598.81",5700945430,162745749738,1404587
2010/01/27,"7,639.72","7,656.95","7,530.41","7,560.03",4010826754,120156872155,1026101
2010/01/28,"7,630.16","7,756.77","7,607.56","7,694.58",3951660416,118848656480,968236
2010/01/29,"7,593.38","7,649.73","7,481.90","7,640.44",3973521419,118524731195,1009431
2010/02/01,"7,653.89","7,661.70","7,493.81","7,524.67",3257102473,91876127093,801499
2010/02/02,"7,633.74","7,635.73","7,398.80","7,429.61",3809275897,111977803486,974320
2010/02/03,"7,523.79","7,550.82","7,441.92","7,547.98",3206253537,92532161280,824133
2010/02/04,"7,563.19","7,578.18","7,504.96","7,542.04",2839370738,80912183381,732636
2010/02/05,"7,323.16","7,352.98","7,196.39","7,217.83",4654664746,122953701049,1116906
2010/02/06,"7,244.71","7,249.19","7,080.90","7,212.87",3299335761,81287355692,815786
2010/02/08,"7,236.63","7,253.24","7,173.18","7,215.88",3055034193,84985726959,816077
2010/02/09,"7,225.71","7,381.82","7,197.13","7,361.04",3776436456,100782729677,895202
2010/02/10,"7,438.12","7,496.34","7,404.97","7,441.84",4017320777,107606574746,981956
2010/02/22,"7,619.87","7,619.87","7,553.29","7,560.04",3204100862,95403726188,808245
2010/02/23,"7,575.62","7,597.44","7,502.45","7,597.44",3013049376,92248301011,799032
2010/02/24,"7,516.47","7,585.19","7,515.38","7,529.67",2891045536,85276506799,774984
2010/02/25,"7,568.42","7,568.42","7,400.42","7,426.96",3438616079,101616217973,894467
2010/02/26,"7,451.17","7,479.28","7,383.68","7,436.10",2765527078,81870259965,712840
2010/03/01,"7,492.84","7,620.56","7,451.09","7,577.75",3522413451,104133362826,874238
2010/03/02,"7,649.62","7,664.49","7,592.66","7,597.62",3205726868,97702019404,822639
2010/03/03,"7,628.78","7,670.25","7,604.86","7,629.52",3031439400,85788929231,781036
2010/03/04,"7,664.00","7,664.00","7,524.19","7,569.80",3504545132,95286569183,896930
2010/03/05,"7,659.76","7,694.89","7,618.00","7,666.26",3256285918,92136273964,813443
2010/03/08,"7,741.80","7,763.76","7,716.28","7,762.27",3486411617,105348856697,898971
2010/03/09,"7,762.40","7,770.59","7,737.65","7,770.59",3053482118,88952367052,803019
2010/03/10,"7,797.70","7,803.27","7,736.70","7,779.08",2989224316,85891719618,787667
2010/03/11,"7,817.59","7,818.84","7,749.40","7,749.66",3179815542,93407470721,811538
2010/03/12,"7,773.52","7,773.52","7,726.09","7,748.33",2620464081,79054514995,691802
2010/03/15,"7,750.87","7,766.36","7,634.92","7,634.92",2728456445,75938824432,709849
2010/03/16,"7,671.41","7,695.81","7,645.17","7,695.63",2357796502,67630823259,605247
2010/03/17,"7,763.43","7,849.38","7,762.85","7,847.84",3980800203,118857315471,994277
2010/03/18,"7,861.27","7,922.48","7,847.55","7,886.34",4706987458,137211580472,1167310
2010/03/19,"7,899.01","7,899.01","7,859.29","7,897.91",4066422212,115327326157,1026924
2010/03/22,"7,861.90","7,872.78","7,791.25","7,835.98",3788434161,106102440938,990133
2010/03/23,"7,880.12","7,889.04","7,804.40","7,811.87",4084382516,121291011393,1051656
2010/03/24,"7,875.27","7,881.37","7,822.71","7,822.71",4087938044,116601883631,987299
2010/03/25,"7,824.74","7,856.31","7,753.51","7,838.10",3722785433,107009251101,931897
2010/03/26,"7,808.15","7,909.41","7,770.42","7,876.86",3803376142,121405218582,1010126
2010/03/29,"7,918.95","7,961.14","7,909.06","7,947.45",3988150228,121507309466,1024386
2010/03/30,"7,992.12","7,994.62","7,942.47","7,962.22",3901924283,114820822415,963072
2010/03/31,"7,962.91","7,974.89","7,920.06","7,920.06",3861324014,114856721254,941307
2010/04/01,"7,952.62","8,026.06","7,952.62","8,013.09",4785395658,140406243406,1173434
2010/04/02,"8,046.29","8,050.99","8,021.91","8,025.93",3787117165,109346541504,946495
2010/04/06,"8,083.03","8,128.08","8,082.37","8,089.65",4376501477,130169784374,1095801
2010/04/07,"8,131.40","8,133.45","8,091.28","8,121.78",4197715347,131017012450,1077998
2010/04/08,"8,106.00","8,149.68","8,038.37","8,057.60",5106305613,147592972477,1245839
2010/04/09,"8,073.52","8,094.35","8,039.41","8,092.03",3845361650,108521886745,984336
2010/04/12,"8,149.76","8,152.53","8,092.94","8,117.75",4220262139,107375019935,950545
2010/04/13,"8,090.54","8,104.14","8,022.94","8,029.73",4107074296,104882477422,957537
2010/04/14,"8,077.94","8,102.38","8,040.01","8,097.13",3785290767,99402978146,902557
2010/04/15,"8,168.11","8,190.01","8,136.32","8,171.94",5221456396,143704345955,1210538
2010/04/16,"8,161.85","8,162.85","8,090.68","8,111.57",4434443499,122810057895,1083664
2010/04/19,"8,003.02","8,042.05","7,845.77","7,854.22",5222113420,139452980832,1281777
2010/04/20,"7,908.11","7,923.27","7,842.07","7,900.42",3784679010,107307789426,936587
2010/04/21,"7,949.96","7,998.76","7,947.90","7,990.53",3928913358,118979322781,989477
2010/04/22,"7,948.89","7,985.49","7,897.14","7,978.69",3714947336,115041858887,987772
