date,dealer_diff,trust_diff,foreign_diff
2010/01/04,-206312397,-643257290,8008888597
2010/01/05,144265623,53610825,12111511204
2010/01/06,1214307861,-919210861,10659639313
2010/01/07,-688959500,466262597,11214255050
2010/01/08,-141867768,-492472319,7462966430
2010/01/11,-56021108,361352842,8083168649
2010/01/12,-303037118,-437893429,-519528144
2010/01/13,-1314152393,-1532642074,-2493823926
2010/01/14,1391391780,-900519437,10604429105
2010/01/15,1403836845,-372858676,10608273808
2010/01/18,607327644,-2032654599,3390952117
2010/01/19,-1416877541,-1706295744,-3204345220
2010/01/20,-1157200545,-199732970,25465158
2010/01/21,-804824025,-1393334930,2348734905
2010/01/22,-1224661158,-1093969576,-20384705755
2010/01/25,-1026481175,-873811944,-10825318019
2010/01/26,-4941291579,-2051492224,-17884653557
2010/01/27,-1638206128,-368199638,-7415014357
2010/01/28,474961331,132668491,-7149276500
2010/01/29,-501219026,-47735232,-10590746876
2010/02/01,-1311899848,-653959357,-11929501131
2010/02/02,-1901776361,-185940639,-5723842393
2010/02/03,769895615,16496560,-2271781950
2010/02/04,-53097020,155856974,-7328086698
2010/02/05,-2287275119,-1826453972,-15720473545
2010/02/06,-157900459,-319486263,-478275123
2010/02/08,545021196,343291480,-15721737989
2010/02/09,1086148453,1265618066,-9619971706
2010/02/10,193090569,1454164689,-9981838210
2010/02/22,689726051,771651699,3431302085
2010/02/23,-287348153,-387699136,613580581
2010/02/24,45659509,483080557,-5192069643
2010/02/25,-1843997582,-484640740,-8845826819
2010/02/26,9540443,-289348732,-1494051041
2010/03/01,1729270898,651492972,7002860284
2010/03/02,646934813,1233778293,4093800103
2010/03/03,518243576,294554784,3327393270
2010/03/04,-718629618,721624235,-4041991215
2010/03/05,721973990,357545827,10894174228
2010/03/08,1480772987,599375589,14753618239
2010/03/09,545450380,483340439,9499980908
2010/03/10,-229543066,6478099,6257949580
2010/03/11,14224080,-522994336,4778217836
2010/03/12,498594681,-791744047,2535489726
2010/03/15,-1346203016,-827145734,-1960565040
2010/03/16,295934950,-109441304,-31352805
2010/03/17,4385182210,-137613853,20023899076
2010/03/18,2527337925,-207703944,12367483926
2010/03/19,482912717,-266272963,2198044639
2010/03/22,201853264,-443105484,-7908617601
2010/03/23,-337892553,-249212413,-2689000583
2010/03/24,260580622,-358979951,6266899579
2010/03/25,1938029180,122948541,-2516122908
2010/03/26,1539381392,-321572732,7893228881
2010/03/29,1578096608,556850420,12150290069
2010/03/30,-282382450,108279892,5611911507
2010/03/31,-120419296,870626832,2600038482
2010/04/01,1912744357,-31010847,15226093033
2010/04/02,1181497242,-23277015,8466880288
2010/04/06,1037571095,-287080994,18620823095
2010/04/07,201758612,-901690053,11391490254
2010/04/08,-226374945,-1207217187,3549550533
2010/04/09,-331707220,-1668425144,4537314119
2010/04/12,17851023,-257270646,3506149379
2010/04/13,-1345283312,-1192397313,1391301892
2010/04/14,369684645,-1700282553,6099737615
2010/04/15,231597676,134738325,9712858186
2010/04/16,-284931999,-336022252,-1714341287
2010/04/19,-3740130575,-1543440113,-3516305787
2010/04/20,-3187496433,-2074108790,-4805130210
2010/04/21,344638649,284818594,6485216019
2010/04/22,7879575,-489589459,-2390187065
2010/04/23,409256277,-69182477,3986473960
2010/04/26,1449797861,-299064212,26809303826
2010/04/27,-135856133,-701881818,7934345675
2010/04/28,189363821,-989778347,-7154212264
2010/04/29,-424903051,-95923366,-4607242821
2010/04/30,-2320051126,-1445560225,12917547858
2010/05/03,-935235684,-1671647491,-5344989844
2010/05/04,-617539694,-1473486752,-2108806759
2010/05/05,-1251593129,-552106687,-23712077574
2010/05/06,-1316688333,-950552731,-12832972996
2010/05/07,-753454127,-10903091,-12103182853
2010/05/10,-330702434,-44114880,-9139867683
2010/05/11,-2717364049,683106449,-9907655157
2010/05/12,-757529224,-519594033,-3018085989
2010/05/13,1203175310,-53589375,8287251323
2010/05/14,941609762,-69634435,1416980268
2010/05/17,-1453415801,-693899836,-10168185475
2010/05/18,-231250380,-1757163249,152332647
2010/05/19,916530480,-1141076202,-9311661870
2010/05/20,-1992142711,-763278486,-7833135018
2010/05/21,-1424434024,-490325195,-10769690534
2010/05/24,-367931405,38507598,386210632
2010/05/25,-1213865898,-122321874,-8655465716
2010/05/26,-242956804,7732797,-3866789247
2010/05/27,423384892,-553599139,-6586824942
2010/05/28,-1032189761,417361422,-3200821472
2010/05/31,170781379,36371929,1070755574
2010/06/01,-1188199378,-809834570,-6010480055
2010/06/02,-317364073,-796658079,-8800217656
2010/06/03,484730569,-598694544,11051976195
2010/06/04,28358423,-84291188,-27183669
2010/06/07,-657092839,-1663039787,-12027353703
2010/06/08,77361411,-660839624,-11344444313
2010/06/09,-1779109798,-538939660,-6928188643
2010/06/10,323229932,-69679431,2254979976
2010/06/11,193917762,1658009240,5522353851
2010/06/14,269686530,89662381,9403135412
2010/06/15,1069205476,-398857579,10306681823
2010/06/17,2828095731,-74481219,9640622303
2010/06/18,-88169589,-272585106,3799620215
2010/06/21,739676184,511318337,20979660520
2010/06/22,457957214,1097035804,1530341348
2010/06/23,531019341,-1026928659,-775674279
2010/06/24,162760895,-525172387,-2926132292
2010/06/25,285043628,-528771583,-7893587401
2010/06/28,389062442,-205876020,-6639794005
2010/06/29,-761079230,-212517650,-4735790849
2010/06/30,-182008593,-176409589,-18810916652
2010/07/01,270411933,106524574,-17248724144
2010/07/02,1037297976,945405148,-10019326895
2010/07/05,1681870519,546036873,2702143178
2010/07/06,1281853860,1334976462,5297994813
2010/07/07,202820292,915707910,-871239783
2010/07/08,465389795,1351425561,8095625198
2010/07/09,378461825,280998309,6939267255
2010/07/12,179229046,475555122,6664125444
2010/07/13,-749921348,-247486267,-1365693354
2010/07/14,442409915,53356005,15883377187
2010/07/15,29413697,457288436,6159046083
2010/07/16,-377620340,-155145802,4617151087
2010/07/19,-91403067,-354313669,726641216
2010/07/20,155432570,431123729,6143977914
2010/07/21,128949731,873674936,2756357267
2010/07/22,345826481,-10647928,-4049025398
2010/07/23,2098806874,463067496,14071334377
2010/07/26,761247406,450794940,9299211150
2010/07/27,112384527,-840048560,6490716194
2010/07/28,-77650383,-668619159,244631651
2010/07/29,-183699875,71604153,5450462422
2010/07/30,-590935549,298553855,-4619957479
2010/08/02,2200442338,256413801,16724213811
2010/08/03,1676366021,805055808,6311969426
2010/08/04,406872460,-777725114,-24874469
2010/08/05,-46178991,-404789870,2165355430
2010/08/06,325253635,-1247888178,361732108
2010/08/09,1520028648,1016998073,5016745458
2010/08/10,-466205254,-366800595,-2195664176
2010/08/11,-969274661,-530708761,-2578163370
2010/08/12,-76978793,-1815784112,-11205850201
2010/08/13,224980006,368667895,-6098232637
2010/08/16,204545413,-295802959,-3526975764
2010/08/17,417523844,147035089,-2403375651
2010/08/18,-1429800570,-754944398,-4064133091
2010/08/19,557025106,-770945504,-2890060655
2010/08/20,-847651926,-167625382,-872875276
2010/08/23,780036884,-267518019,4852269019
2010/08/24,171569332,-1252735259,-4420625925
2010/08/25,-3165649834,-1693813501,-22593622948
2010/08/26,-1856234307,-339944072,-8977300789
2010/08/27,-369343996,-728372733,-5929260740
2010/08/30,-159999341,264585482,1392403435
2010/08/31,-1614134485,-705044615,-5265612213
2010/09/01,437692432,-271727961,-12726469085
2010/09/02,-402477969,680464944,3191560327
2010/09/03,2240063532,1083633434,1522842565
2010/09/06,1574504979,217270128,7045225154
2010/09/07,1086486931,10865572,5422627064
2010/09/08,610321548,-262470085,-3235659281
2010/09/09,88476433,-1310468821,-7365714
2010/09/10,844839684,-377613452,4791102706
2010/09/13,2512072431,228573383,20883158771
2010/09/14,336374007,526255065,10408826052
2010/09/15,356989977,179509941,3889747292
2010/09/16,-578666593,-770334884,4389414384
2010/09/17,1824118490,-204311239,7540025266
2010/09/20,121719308,409457002,5754209577
2010/09/21,532775417,-405893836,4171564990
2010/09/23,126382747,-874576805,3310717051
2010/09/24,-88998005,-1374627668,-2467151383
2010/09/27,-842811708,-699967653,4082373173
2010/09/28,648380711,-541527695,1165672805
2010/09/29,725921414,-373142365,8656122612
2010/09/30,-434407372,-208921868,1173829035
2010/10/01,233894167,-218871552,2348997152
2010/10/04,-1276634621,-383900115,2473632866
2010/10/05,-736114578,-291670745,-2934683469
2010/10/06,1318838675,305934627,6373108788
2010/10/07,603235715,582931923,-378352909
2010/10/08,-954817385,-264498135,21906655
2010/10/11,-1099513244,-596102598,5931503289
2010/10/12,-1081391316,-826281899,-8343732837
2010/10/13,-178624088,-879362181,-2872295192
2010/10/14,840081274,255429385,11782966461
2010/10/15,265888403,-200499018,3800354919
2010/10/18,-1403588158,-1162336554,-9711569497
2010/10/19,-789339140,-809695491,-5645357436
2010/10/20,1769425172,-220980631,-3373964778
2010/10/21,-482348397,305122818,991465841
2010/10/22,312771813,435145944,1893523929
2010/10/25,1767791473,776771602,15255998697
2010/10/26,-180544146,-485616570,6318745787
2010/10/27,-452037744,-675213103,2624439826
2010/10/28,860391105,-1014864724,11120844861
