date,d_unfilled_b_v,d_unfilled_s_v,t_unfilled_b_v,t_unfilled_s_v,f_unfilled_b_v,f_unfilled_s_v
2010/01/04,13197,4562,1627,843,23128,20483
2010/01/05,13724,3683,1534,814,24675,22319
2010/01/06,16969,5064,1705,859,27376,23386
2010/01/07,17788,4366,1745,806,22582,25908
2010/01/08,19001,5638,1753,881,22734,27464
2010/01/11,19552,5833,1756,740,25838,28121
2010/01/12,20188,6142,1804,664,25508,28846
2010/01/13,19999,8082,1777,839,25111,31208
2010/01/14,22739,7975,1815,705,27015,33146
2010/01/15,25363,8240,1467,662,26835,33520
2010/01/18,25308,8749,1519,661,26268,36043
2010/01/19,22880,8825,1412,769,25616,37465
2010/01/20,10026,6054,1305,992,18160,24081
2010/01/21,9610,6548,1450,1322,16087,29321
2010/01/22,9441,7415,1483,1234,17883,36295
2010/01/25,10485,5958,1537,1126,18592,39532
2010/01/26,8738,5670,1426,1999,19874,35288
2010/01/27,7437,6458,1456,1561,20519,36478
2010/01/28,7592,5144,1439,1753,21078,34941
2010/01/29,7318,6032,1462,1898,21634,34388
2010/02/01,8386,6591,1508,2123,22969,35218
2010/02/02,8924,7622,1595,2285,26914,33045
2010/02/03,8852,7718,1695,2032,26397,33125
2010/02/04,7652,8196,1775,2021,26355,30921
2010/02/05,6610,9013,1575,2047,29140,31849
2010/02/06,6003,8625,1667,2388,29132,32963
2010/02/08,4679,8833,1664,2156,31218,31967
2010/02/09,5211,7568,1544,1527,31165,32382
2010/02/10,5526,8095,1583,1509,33069,32135
2010/02/22,4953,2698,1544,1248,21066,24089
2010/02/23,5915,3268,1547,1221,20897,24098
2010/02/24,5239,3561,1532,1277,23413,25576
2010/02/25,4346,4880,1446,1492,27152,26875
2010/02/26,4359,4679,1428,1703,26523,27316
2010/03/01,8604,4126,1431,1547,29156,28262
2010/03/02,8491,4153,1454,1279,28426,28334
2010/03/03,8405,4039,1450,1284,27957,27896
2010/03/04,5786,4513,1447,1305,30529,27153
2010/03/05,7568,4947,1444,1400,30629,28075
2010/03/08,8928,5608,1447,1329,31772,27595
2010/03/09,9044,5742,1450,1134,31912,27937
2010/03/10,9900,6129,1450,1070,32208,29144
2010/03/11,9915,5640,1585,1039,33536,30863
2010/03/12,8914,6338,1592,1042,33093,31758
2010/03/15,9129,8228,1438,1394,35287,33417
2010/03/16,7278,8153,1437,1346,39061,35620
2010/03/17,4296,2603,1367,755,19828,19952
2010/03/18,5562,2838,1671,738,18290,22349
2010/03/19,6221,2907,1661,740,19137,22351
2010/03/22,5446,3324,1597,868,19216,23234
2010/03/23,5163,4018,1612,929,18837,22047
2010/03/24,5431,4416,1677,1027,19744,23743
2010/03/25,5362,4708,1687,957,19352,25301
2010/03/26,5976,5721,1651,1243,20480,18895
2010/03/29,6405,5833,1651,1196,20589,20465
2010/03/30,6081,6158,1660,1188,20616,21711
2010/03/31,6356,7156,1590,1255,21006,21957
2010/04/01,7652,7188,1601,1151,22394,23334
2010/04/02,7588,6852,1601,871,21676,22222
2010/04/06,7976,6838,1590,855,26951,25586
2010/04/07,9358,6760,1596,838,27267,28169
