date,top5_b_v,top5_b_ratio,top10_b_v,top10_b_ratio,top5_s_v,top5_s_ratio,top10_s_v,top10_s_ratio,total_unfilled
2010/01/04,17825,29.2,28076,46.0,10913,17.9,17001,27.9,61019
2010/01/05,18858,30.0,30392,48.3,11270,17.9,17852,28.4,62913
2010/01/06,21204,31.7,33355,49.9,11417,17.1,18153,27.2,66836
2010/01/07,21378,31.7,32146,47.7,12305,18.3,20027,29.7,67363
2010/01/08,22100,32.1,32779,47.6,13084,19.0,21796,31.7,68833
2010/01/11,22674,32.0,33862,47.8,13655,19.3,22808,32.2,70767
2010/01/12,23582,32.7,34669,48.1,13875,19.2,23371,32.4,72115
2010/01/13,24457,32.6,35430,47.2,14669,19.5,25389,33.8,75093
2010/01/14,26511,34.3,38127,49.3,16122,20.9,26945,34.9,77310
2010/01/15,28425,36.1,40081,50.9,16933,21.5,27415,34.8,78723
2010/01/18,29497,36.3,40340,49.6,17554,21.6,28225,34.7,81313
2010/01/19,29843,37.2,41605,51.9,17208,21.5,29074,36.3,80141
2010/01/20,16067,29.3,23670,43.2,13426,24.5,20647,37.7,54827
2010/01/21,14300,23.1,20967,33.8,15776,25.5,24937,40.2,61971
2010/01/22,14606,22.1,22307,33.7,20000,30.2,30215,45.6,66225
2010/01/25,15154,22.1,22872,33.4,21039,30.7,32252,47.1,68454
2010/01/26,14022,21.9,21540,33.7,18400,28.8,28026,43.8,63960
2010/01/27,14702,22.5,21884,33.5,18015,27.6,27841,42.7,65244
2010/01/28,15584,25.0,22716,36.5,17826,28.6,26471,42.5,62246
2010/01/29,16180,25.5,23273,36.7,17234,27.2,25975,41.0,63429
2010/02/01,18707,27.2,26001,37.8,17554,25.5,27567,40.1,68824
2010/02/02,21050,29.3,28929,40.3,18908,26.3,29366,40.9,71850
2010/02/03,21976,31.3,28907,41.2,18629,26.6,29289,41.7,70158
2010/02/04,22622,33.0,29107,42.5,18062,26.4,28384,41.5,68462
2010/02/05,22779,32.5,29960,42.8,21645,30.9,31454,44.9,70071
2010/02/06,21295,29.7,28519,39.7,20559,28.6,31829,44.3,71776
2010/02/08,21238,29.9,28005,39.5,20367,28.7,30662,43.2,70965
2010/02/09,20716,30.2,27948,40.8,21570,31.5,32264,47.1,68534
2010/02/10,22390,33.7,29476,44.3,19443,29.3,30167,45.4,66471
2010/02/22,16265,33.9,22714,47.4,14924,31.1,21769,45.4,47922
2010/02/23,16016,31.1,23056,44.8,14989,29.1,22260,43.2,51498
