date,call_top5_b_v,call_top5_b_ratio,call_top10_b_v,call_top10_b_ratio,call_top5_s_v,call_top5_s_ratio,call_top10_s_v,call_top10_s_ratio,put_top5_b_v,put_top5_b_ratio,put_top10_b_v,put_top10_b_ratio,put_top5_s_v,put_top5_s_ratio,put_top10_s_v,put_top10_s_ratio
2010/01/04,96957,30.6,141441,44.7,88728,28.0,114521,36.2,165683,40.0,209799,50.6,91653,22.1,133994,32.3
2010/01/05,109121,31.7,156343,45.5,100156,29.1,127602,37.1,173609,39.7,219174,50.1,99646,22.8,144707,33.1
2010/01/06,111340,32.6,157132,46.0,101872,29.8,130172,38.1,186054,39.3,230731,48.8,108421,22.9,163574,34.6
2010/01/07,119414,32.4,166015,45.0,118610,32.2,149590,40.6,196888,38.8,243814,48.1,118297,23.3,177310,34.9
2010/01/08,125965,32.5,170019,43.9,125505,32.4,157715,40.7,206818,38.8,260232,48.8,129039,24.2,190887,35.8
2010/01/11,125925,32.1,170611,43.5,126563,32.3,158019,40.3,211581,38.3,266474,48.3,139148,25.2,199189,36.1
2010/01/12,128655,32.0,172796,42.9,130568,32.5,163256,40.6,219060,38.7,274953,48.6,142428,25.2,208579,36.9
2010/01/13,131990,31.1,180364,42.5,141648,33.3,174430,41.1,233532,40.8,290494,50.8,141725,24.8,208268,36.4
2010/01/14,133931,31.1,184763,42.9,139296,32.3,170026,39.5,244328,41.4,301041,51.0,153566,26.0,222403,37.7
2010/01/15,139153,32.1,195150,45.0,137733,31.7,171311,39.5,251085,41.2,310150,50.9,156142,25.6,232527,38.2
2010/01/18,140219,31.3,194505,43.5,146521,32.7,182717,40.8,261004,41.6,323869,51.7,153810,24.5,235484,37.6
2010/01/19,139221,30.0,197680,42.6,149718,32.2,187926,40.5,252545,41.2,316939,51.7,139192,22.7,217253,35.4
2010/01/20,88630,37.3,121297,51.0,77060,32.4,99637,41.9,129894,48.6,169922,63.5,63541,23.8,92911,34.7
2010/01/21,91664,32.2,128567,45.2,75275,26.5,101244,35.6,136507,46.0,176059,59.3,68625,23.1,96336,32.5
2010/01/22,95341,28.1,134775,39.7,109429,32.3,139484,41.1,142401,43.9,189653,58.5,71317,22.0,100929,31.1
2010/01/25,102139,27.4,144487,38.8,120855,32.4,153217,41.1,164195,46.0,210433,59.0,82059,23.0,114794,32.2
2010/01/26,117303,27.1,164791,38.0,152249,35.1,191580,44.2,150031,43.6,202149,58.7,86791,25.2,119029,34.6
2010/01/27,123791,26.6,176040,37.8,164981,35.4,207149,44.5,159159,43.4,210371,57.3,96568,26.3,133380,36.3
2010/01/28,122379,26.0,177113,37.6,152432,32.4,192253,40.8,175935,44.1,225300,56.5,102361,25.7,141418,35.5
2010/01/29,134067,26.3,191806,37.7,166866,32.8,212513,41.7,170698,42.8,221356,55.6,102499,25.7,141136,35.4
2010/02/01,129840,23.8,191784,35.2,177511,32.6,230628,42.3,173795,43.4,225716,56.4,107702,26.9,144129,36.0
2010/02/02,132309,23.8,197489,35.6,186472,33.6,238041,42.9,160974,41.0,214085,54.6,108560,27.7,148209,37.8
2010/02/03,130253,22.8,204229,35.8,176161,30.9,232865,40.8,161029,39.9,216356,53.6,114694,28.4,153795,38.1
2010/02/04,131452,22.7,202588,35.0,180232,31.1,235312,40.7,167579,40.5,223659,54.0,112538,27.2,150700,36.4
2010/02/05,150019,24.0,227658,36.5,205068,32.8,270753,43.4,148800,40.4,210808,57.2,107968,29.3,150113,40.7
2010/02/06,159458,24.5,239225,36.7,220894,33.9,287699,44.1,144270,39.4,209242,57.2,109379,29.9,152165,41.6
2010/02/08,179386,26.2,261492,38.3,230795,33.8,302322,44.2,139145,36.4,207629,54.2,113709,29.7,156971,41.0
2010/02/09,193258,27.8,282703,40.7,224080,32.3,297899,42.9,151396,36.7,224613,54.5,117553,28.5,162962,39.5
2010/02/10,215216,29.8,317772,43.9,222135,30.7,296955,41.1,168441,37.7,234150,52.3,122824,27.5,176036,39.4
2010/02/22,98899,39.9,124390,50.2,96596,39.0,125064,50.5,94716,40.6,133391,57.2,78932,33.8,106102,45.5
2010/02/23,100393,35.4,131501,46.3,100544,35.4,132147,46.6,102003,37.7,144891,53.6,86026,31.8,118842,44.0
2010/02/24,104522,33.1,141551,44.9,108000,34.2,143075,45.3,105889,35.5,149540,50.1,91814,30.7,127387,42.7
2010/02/25,107479,30.2,145938,41.0,117840,33.1,159710,44.9,110072,34.7,155985,49.2,95052,30.0,128841,40.6
2010/02/26,107069,28.4,146409,38.8,121100,32.1,165409,43.8,113326,34.6,159239,48.6,95394,29.1,128657,39.3
2010/03/01,104797,27.8,145932,38.7,117751,31.3,160796,42.7,121881,34.4,167422,47.2,94617,26.7,137469,38.8
2010/03/02,107289,27.5,150833,38.7,119969,30.8,163631,42.0,121052,32.9,168185,45.8,93983,25.6,137417,37.4
2010/03/03,112755,27.9,157827,39.1,125908,31.2,170211,42.1,117917,31.7,164676,44.3,88836,23.9,134523,36.2
2010/03/04,118426,27.7,165926,38.8,133405,31.2,175137,41.0,123913,31.1,172916,43.4,107043,26.9,152946,38.4
2010/03/05,124108,28.8,175787,40.8,122627,28.4,167613,38.9,131737,31.9,179562,43.4,107981,26.1,154054,37.3
2010/03/08,125007,28.9,180952,41.9,118579,27.4,166968,38.6,130750,29.7,179412,40.7,110801,25.2,163397,37.1
2010/03/09,131072,29.7,187550,42.5,121609,27.6,167485,38.0,133534,29.2,184389,40.4,118374,25.9,169620,37.1
2010/03/10,131689,29.2,187838,41.6,119632,26.5,164991,36.6,140799,29.9,192366,40.9,119522,25.4,173632,36.9
2010/03/11,131348,28.3,186122,40.1,115730,24.9,165051,35.6,148203,30.5,202694,41.8,117349,24.2,176080,36.3
2010/03/12,134903,28.6,190226,40.3,113675,24.1,164913,34.9,148079,29.9,204935,41.3,117318,23.7,181618,36.6
2010/03/15,147311,29.9,202656,41.2,120579,24.5,177874,36.1,148485,29.8,208177,41.7,120259,24.1,183285,36.7
2010/03/16,154461,30.9,211390,42.3,114261,22.9,171808,34.4,155447,30.2,214509,41.7,129683,25.2,196284,38.2
2010/03/17,75177,41.3,99323,54.5,50877,27.9,71168,39.1,47655,33.0,67641,46.9,37229,25.8,50532,35.0
2010/03/18,81166,36.0,110392,49.0,57120,25.3,81534,36.2,64883,34.1,87454,46.0,38769,20.4,57202,30.1
2010/03/19,87567,34.1,123045,47.9,61112,23.8,88073,34.3,70956,34.3,95833,46.3,44592,21.5,62700,30.3
2010/03/22,90594,32.7,123433,44.6,63478,22.9,91833,33.2,76033,33.8,102635,45.6,48953,21.8,68875,30.6
2010/03/23,95356,32.4,127862,43.4,65082,22.1,96269,32.7,81664,33.0,110145,44.5,57420,23.2,79309,32.1
2010/03/24,98480,31.5,131002,41.9,63622,20.4,95960,30.7,92905,33.8,124688,45.3,68942,25.1,93726,34.1
2010/03/25,90293,27.7,122958,37.7,64337,19.7,97638,29.9,104196,35.8,136196,46.8,73822,25.4,102632,35.3
2010/03/26,102107,30.4,135073,40.2,68411,20.4,101716,30.3,109873,34.1,143673,44.6,84901,26.4,121980,37.9
2010/03/29,108330,31.3,143621,41.6,75343,21.8,111470,32.3,106846,31.6,144341,42.6,79794,23.6,120577,35.6
2010/03/30,108348,30.4,146005,41.0,76168,21.4,113922,32.0,108928,30.6,147521,41.4,85729,24.1,132175,37.1
2010/03/31,113688,30.5,151304,40.6,80501,21.6,120256,32.2,115131,30.8,154534,41.3,93976,25.1,142265,38.0
2010/04/01,119661,30.6,163839,41.9,90664,23.2,130688,33.4,114530,29.2,158012,40.2,94320,24.0,141737,36.1
2010/04/02,126891,31.2,173805,42.7,94270,23.2,140855,34.6,122599,29.6,173799,41.9,101676,24.5,153294,37.0
2010/04/06,123986,29.9,175754,42.4,104240,25.2,149113,36.0,130249,29.3,183054,41.2,115026,25.9,172629,38.9
2010/04/07,125794,29.5,180993,42.4,111352,26.1,158688,37.2,134019,28.9,186302,40.2,121643,26.2,180063,38.8
2010/04/08,132358,28.9,188835,41.2,119043,26.0,169689,37.0,151011,30.6,209180,42.4,126970,25.7,187462,38.0
2010/04/09,136694,29.2,192069,41.0,117233,25.0,171456,36.6,151620,30.6,208442,42.1,125322,25.3,187085,37.8
2010/04/12,139371,28.9,194700,40.3,118868,24.6,175422,36.3,152726,30.1,211504,41.6,128577,25.3,189509,37.3
2010/04/13,145909,28.5,200223,39.2,126665,24.8,185304,36.2,150461,29.5,210202,41.2,122596,24.0,181649,35.6
2010/04/14,143552,28.0,199317,38.9,130179,25.4,186152,36.4,143562,27.8,206980,40.1,124138,24.0,181205,35.1
2010/04/15,147017,28.5,206789,40.1,134390,26.1,192685,37.4,142894,26.7,207632,38.8,127434,23.8,187891,35.1
2010/04/16,140853,26.7,203603,38.7,141266,26.8,200787,38.1,147238,27.4,212600,39.6,121269,22.6,186776,34.8
2010/04/19,132303,24.0,193292,35.1,149392,27.1,210313,38.2,147851,29.2,207298,41.0,123402,24.4,185228,36.6
2010/04/20,132395,22.8,201435,34.7,165860,28.6,229199,39.5,165065,30.5,233175,43.1,133114,24.6,201964,37.3
2010/04/21,70342,31.9,108002,49.0,63193,28.7,95793,43.5,53928,27.7,80447,41.3,48777,25.0,73159,37.5
2010/04/22,86366,31.4,131638,47.8,70638,25.7,113185,41.1,66593,27.9,100228,42.0,56393,23.6,86614,36.3
2010/04/23,93357,31.5,141649,47.8,76221,25.7,120895,40.8,73763,27.7,109025,40.9,66138,24.8,102563,38.5
2010/04/26,99144,32.3,145385,47.4,80071,26.1,121545,39.6,75864,26.3,114479,39.7,58235,20.2,93814,32.5
2010/04/27,103488,32.2,145609,45.3,71158,22.2,111884,34.8,81301,26.5,118424,38.6,62044,20.2,97652,31.9
2010/04/28,106483,30.1,152923,43.2,81870,23.1,125482,35.5,95037,28.6,137891,41.5,66764,20.1,108972,32.8
2010/04/29,109744,30.8,156823,44.0,78120,21.9,120996,34.0,98531,28.5,139341,40.3,73606,21.3,114952,33.2
2010/04/30,110115,29.2,157146,41.7,77490,20.6,122618,32.5,104788,28.2,146085,39.3,83543,22.5,126630,34.1
2010/05/03,111799,27.3,159300,38.9,83089,20.3,130985,32.0,104276,27.4,149246,39.2,85912,22.5,125676,33.0
2010/05/04,118656,27.5,167089,38.8,82438,19.1,134512,31.2,105176,26.2,151968,37.9,89946,22.4,131840,32.9
2010/05/05,118835,24.3,174412,35.7,99775,20.4,162489,33.3,99187,24.8,157321,39.4,87036,21.8,132529,33.2
2010/05/06,116834,21.9,179498,33.6,116378,21.8,185798,34.8,99264,25.1,166266,42.0,91123,23.0,135542,34.3
2010/05/07,127134,21.8,201707,34.5,138354,23.7,212869,36.4,115119,29.8,175999,45.5,93992,24.3,135995,35.2
2010/05/10,121935,21.2,198267,34.4,121098,21.0,192778,33.5,103671,26.1,163025,41.1,90981,22.9,132851,33.5
2010/05/11,131983,22.3,214851,36.3,122460,20.7,194231,32.8,100807,23.8,162526,38.3,99084,23.4,146824,34.6
2010/05/12,136557,22.5,220339,36.3,123362,20.3,200404,33.0,109598,24.5,170109,38.1,99910,22.4,151479,33.9
2010/05/13,147560,24.4,233314,38.6,127484,21.1,201956,33.4,122827,25.4,189314,39.1,104449,21.6,162113,33.5
2010/05/14,139100,23.4,221630,37.2,126786,21.3,193846,32.6,136987,27.2,197309,39.2,105526,21.0,167907,33.4
